dataset,experiment,method,split,seed,fid
dreambooth_mixed,p2-only_D-Medium_seed72,p2-only,D-Medium,72,223.2334
dreambooth_mixed,p2-only_D-Medium_seed82,p2-only,D-Medium,82,228.6317
dreambooth_mixed,p3-only-long_D-Medium_seed42,p3-only-long,D-Medium,42,234.6281
dreambooth_mixed,p3-only-long_D-Medium_seed52,p3-only-long,D-Medium,52,241.7473
dreambooth_mixed,p3-only-long_D-Medium_seed62,p3-only-long,D-Medium,62,249.8655
dreambooth_mixed,p3-only-long_D-Medium_seed72,p3-only-long,D-Medium,72,249.9466
dreambooth_mixed,p3-only-long_D-Medium_seed82,p3-only-long,D-Medium,82,241.4197
dreambooth_mixed,p2-p3-replay_D-Medium_seed42,p2-p3-replay,D-Medium,42,221.019
dreambooth_mixed,p2-p3-replay_D-Medium_seed52,p2-p3-replay,D-Medium,52,230.0094
dreambooth_mixed,p2-p3-replay_D-Medium_seed62,p2-p3-replay,D-Medium,62,224.2506
dreambooth_mixed,p2-p3-replay_D-Medium_seed72,p2-p3-replay,D-Medium,72,226.1968
dreambooth_mixed,p2-p3-replay_D-Medium_seed82,p2-p3-replay,D-Medium,82,224.6144
dreambooth_mixed,scale-aware-v1_D-Medium_seed42,scale-aware-v1,D-Medium,42,233.8347
dreambooth_mixed,scale-aware-v1_D-Medium_seed52,scale-aware-v1,D-Medium,52,241.1697
dreambooth_mixed,scale-aware-v1_D-Medium_seed62,scale-aware-v1,D-Medium,62,245.755
dreambooth_mixed,scale-aware-v1_D-Medium_seed72,scale-aware-v1,D-Medium,72,249.7042
dreambooth_mixed,scale-aware-v1_D-Medium_seed82,scale-aware-v1,D-Medium,82,245.3793
dreambooth_mixed,p2-only_D-Low_seed42,p2-only,D-Low,42,287.6731
dreambooth_mixed,p2-only_D-Low_seed52,p2-only,D-Low,52,285.6455
dreambooth_mixed,p2-only_D-Low_seed62,p2-only,D-Low,62,301.0634
dreambooth_mixed,p2-only_D-Low_seed72,p2-only,D-Low,72,276.6373
dreambooth_mixed,p2-only_D-Low_seed82,p2-only,D-Low,82,287.5597
dreambooth_mixed,p3-only-long_D-Low_seed42,p3-only-long,D-Low,42,278.7966
dreambooth_mixed,p3-only-long_D-Low_seed52,p3-only-long,D-Low,52,277.8446
dreambooth_mixed,p3-only-long_D-Low_seed62,p3-only-long,D-Low,62,284.6353
dreambooth_mixed,p3-only-long_D-Low_seed72,p3-only-long,D-Low,72,279.7752
dreambooth_mixed,p3-only-long_D-Low_seed82,p3-only-long,D-Low,82,281.6304
dreambooth_mixed,p2-p3-replay_D-Low_seed42,p2-p3-replay,D-Low,42,293.6929
dreambooth_mixed,p2-p3-replay_D-Low_seed52,p2-p3-replay,D-Low,52,288.331
dreambooth_mixed,p2-p3-replay_D-Low_seed62,p2-p3-replay,D-Low,62,291.1144
dreambooth_mixed,p2-p3-replay_D-Low_seed72,p2-p3-replay,D-Low,72,272.5486
dreambooth_mixed,p2-p3-replay_D-Low_seed82,p2-p3-replay,D-Low,82,290.0247
dreambooth_mixed,p2-only_D-Sub-50_seed42,p2-only,D-Sub-50,42,231.1786
dreambooth_mixed,p2-only_D-Sub-50_seed52,p2-only,D-Sub-50,52,235.4495
dreambooth_mixed,p2-only_D-Sub-50_seed62,p2-only,D-Sub-50,62,219.5392
dreambooth_mixed,p2-only_D-Sub-50_seed72,p2-only,D-Sub-50,72,234.6881
dreambooth_mixed,p2-only_D-Sub-50_seed82,p2-only,D-Sub-50,82,229.4944
dreambooth_mixed,p3-only-long_D-Sub-50_seed42,p3-only-long,D-Sub-50,42,232.7185
dreambooth_mixed,p3-only-long_D-Sub-50_seed52,p3-only-long,D-Sub-50,52,240.357
dreambooth_mixed,p3-only-long_D-Sub-50_seed62,p3-only-long,D-Sub-50,62,244.5945
dreambooth_mixed,p3-only-long_D-Sub-50_seed72,p3-only-long,D-Sub-50,72,245.9577
dreambooth_mixed,p3-only-long_D-Sub-50_seed82,p3-only-long,D-Sub-50,82,244.9404
dreambooth_mixed,p2-p3-replay_D-Sub-50_seed42,p2-p3-replay,D-Sub-50,42,229.0156
dreambooth_mixed,p2-p3-replay_D-Sub-50_seed52,p2-p3-replay,D-Sub-50,52,234.6551
dreambooth_mixed,p2-p3-replay_D-Sub-50_seed62,p2-p3-replay,D-Sub-50,62,224.3444
dreambooth_mixed,p2-p3-replay_D-Sub-50_seed72,p2-p3-replay,D-Sub-50,72,231.9427
dreambooth_mixed,p2-p3-replay_D-Sub-50_seed82,p2-p3-replay,D-Sub-50,82,238.387
dreambooth_mixed,scale-aware-v1_D-Sub-50_seed42,scale-aware-v1,D-Sub-50,42,230.027
dreambooth_mixed,scale-aware-v1_D-Sub-50_seed52,scale-aware-v1,D-Sub-50,52,236.1429
dreambooth_mixed,scale-aware-v1_D-Sub-50_seed62,scale-aware-v1,D-Sub-50,62,217.223
dreambooth_mixed,scale-aware-v1_D-Sub-50_seed72,scale-aware-v1,D-Sub-50,72,236.2286
dreambooth_mixed,scale-aware-v1_D-Sub-50_seed82,scale-aware-v1,D-Sub-50,82,229.3223
dreambooth_mixed,p2-only_D-Sub-25_seed42,p2-only,D-Sub-25,42,234.236
dreambooth_mixed,p2-only_D-Sub-25_seed52,p2-only,D-Sub-25,52,244.0824
dreambooth_mixed,p2-only_D-Sub-25_seed62,p2-only,D-Sub-25,62,236.6366
dreambooth_mixed,p2-only_D-Sub-25_seed72,p2-only,D-Sub-25,72,238.6769
dreambooth_mixed,p2-only_D-Sub-25_seed82,p2-only,D-Sub-25,82,233.1585
dreambooth_mixed,p3-only-long_D-Sub-25_seed42,p3-only-long,D-Sub-25,42,248.9082
dreambooth_mixed,p3-only-long_D-Sub-25_seed52,p3-only-long,D-Sub-25,52,253.6409
dreambooth_mixed,p3-only-long_D-Sub-25_seed62,p3-only-long,D-Sub-25,62,250.761
dreambooth_mixed,p3-only-long_D-Sub-25_seed72,p3-only-long,D-Sub-25,72,267.716
dreambooth_mixed,p3-only-long_D-Sub-25_seed82,p3-only-long,D-Sub-25,82,261.9722
dreambooth_mixed,p2-p3-replay_D-Sub-25_seed42,p2-p3-replay,D-Sub-25,42,234.6564
dreambooth_mixed,p2-p3-replay_D-Sub-25_seed52,p2-p3-replay,D-Sub-25,52,241.228
dreambooth_mixed,p2-p3-replay_D-Sub-25_seed62,p2-p3-replay,D-Sub-25,62,248.781
dreambooth_mixed,p2-p3-replay_D-Sub-25_seed72,p2-p3-replay,D-Sub-25,72,234.3562
dreambooth_mixed,p2-p3-replay_D-Sub-25_seed82,p2-p3-replay,D-Sub-25,82,238.9277
dreambooth_mixed,scale-aware-v1_D-Sub-25_seed42,scale-aware-v1,D-Sub-25,42,234.9597
dreambooth_mixed,scale-aware-v1_D-Sub-25_seed52,scale-aware-v1,D-Sub-25,52,241.8583
dreambooth_mixed,scale-aware-v1_D-Sub-25_seed62,scale-aware-v1,D-Sub-25,62,248.0677
dreambooth_mixed,scale-aware-v1_D-Sub-25_seed72,scale-aware-v1,D-Sub-25,72,232.6165
dreambooth_mixed,scale-aware-v1_D-Sub-25_seed82,scale-aware-v1,D-Sub-25,82,238.102
